Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
63,2,3,70,17,15,4,34,31,0.032,0.016,0.946,0.233,0.263,0.037,0.221,0.756
64,15,12,3,51,31,6,3,14,0.242,0.066,0.041,0.699,0.544,0.056,0.019,0.341
65,4,6,67,42,42,2,3,34,0.065,0.033,0.905,0.575,0.737,0.019,0.019,0.829
66,0,4,67,2,12,3,29,32,0.0,0.022,0.905,0.027,0.211,0.028,0.188,0.78
67,0,4,8,39,18,3,25,35,0.0,0.022,0.108,0.534,0.316,0.028,0.162,0.854
68,0,5,68,1,9,2,12,35,0.0,0.027,0.919,0.014,0.158,0.019,0.078,0.854
69,2,4,27,47,16,2,3,36,0.032,0.022,0.365,0.644,0.281,0.019,0.019,0.878
70,0,6,6,3,10,1,8,34,0.0,0.033,0.081,0.041,0.175,0.009,0.052,0.829
71,19,22,7,54,37,14,9,19,0.306,0.121,0.095,0.74,0.649,0.13,0.058,0.463
72,0,4,17,17,12,2,6,35,0.0,0.022,0.23,0.233,0.211,0.019,0.039,0.854
73,31,120,66,0,11,74,123,1,0.5,0.659,0.892,0.0,0.193,0.685,0.799,0.024
74,17,4,0,54,26,5,2,1,0.274,0.022,0.0,0.74,0.456,0.046,0.013,0.024
75,2,60,71,0,13,73,129,16,0.032,0.33,0.959,0.0,0.228,0.676,0.838,0.39
76,1,31,71,0,11,21,127,32,0.016,0.17,0.959,0.0,0.193,0.194,0.825,0.78
77,3,129,66,0,4,86,133,1,0.048,0.709,0.892,0.0,0.07,0.796,0.864,0.024
78,0,98,44,0,5,79,93,19,0.0,0.538,0.595,0.0,0.088,0.731,0.604,0.463
79,24,108,44,27,24,82,94,20,0.387,0.593,0.595,0.37,0.421,0.759,0.61,0.488
80,0,0,44,0,12,8,21,20,0.0,0.0,0.595,0.0,0.211,0.074,0.136,0.488
81,2,4,36,15,17,6,9,19,0.032,0.022,0.486,0.205,0.298,0.056,0.058,0.463
82,24,109,1,39,19,7,6,0,0.387,0.599,0.014,0.534,0.333,0.065,0.039,0.0
83,36,139,58,34,24,77,119,29,0.581,0.764,0.784,0.466,0.421,0.713,0.773,0.707
84,48,144,61,52,30,85,124,30,0.774,0.791,0.824,0.712,0.526,0.787,0.805,0.732
85,44,147,64,15,25,90,126,31,0.71,0.808,0.865,0.205,0.439,0.833,0.818,0.756
86,50,147,66,50,51,92,131,30,0.806,0.808,0.892,0.685,0.895,0.852,0.851,0.732
87,38,150,65,1,23,85,128,25,0.613,0.824,0.878,0.014,0.404,0.787,0.831,0.61
88,42,151,67,0,24,97,135,32,0.677,0.83,0.905,0.0,0.421,0.898,0.877,0.78
89,42,152,68,0,24,93,136,33,0.677,0.835,0.919,0.0,0.421,0.861,0.883,0.805
90,0,12,6,18,14,4,6,34,0.0,0.066,0.081,0.247,0.246,0.037,0.039,0.829
91,39,152,66,0,23,105,129,32,0.629,0.835,0.892,0.0,0.404,0.972,0.838,0.78
92,11,3,0,61,29,0,0,2,0.177,0.016,0.0,0.836,0.509,0.0,0.0,0.049
93,7,4,1,52,28,0,0,25,0.113,0.022,0.014,0.712,0.491,0.0,0.0,0.61
94,39,155,67,0,13,107,141,23,0.629,0.852,0.905,0.0,0.228,0.991,0.916,0.561
