Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
48,28.0,42.0,49.0,69.0,31.0,41.0,128.0,38.0,0.452,0.575,0.269,0.932,0.544,0.38,0.831,0.927
49,28.0,43.0,49.0,69.0,30.0,50.0,128.0,38.0,0.452,0.589,0.269,0.932,0.526,0.463,0.831,0.927
50,1.0,0.0,87.0,71.0,9.0,101.0,131.0,36.0,0.016,0.0,0.478,0.959,0.158,0.935,0.851,0.878
51,6.0,0.0,4.0,67.0,5.0,99.0,132.0,34.0,0.097,0.0,0.022,0.905,0.088,0.917,0.857,0.829
52,43.0,9.0,147.0,68.0,22.0,102.0,137.0,38.0,0.694,0.123,0.808,0.919,0.386,0.944,0.89,0.927
53,34.0,2.0,132.0,67.0,1.0,102.0,133.0,1.0,0.548,0.027,0.725,0.905,0.018,0.944,0.864,0.024
54,49.0,33.0,146.0,62.0,26.0,103.0,130.0,24.0,0.79,0.452,0.802,0.838,0.456,0.954,0.844,0.585
55,51.0,53.0,8.0,70.0,49.0,55.0,3.0,31.0,0.823,0.726,0.044,0.946,0.86,0.509,0.019,0.756
56,36.0,1.0,134.0,60.0,13.0,101.0,124.0,0.0,0.581,0.014,0.736,0.811,0.228,0.935,0.805,0.0
57,0.0,22.0,10.0,28.0,14.0,2.0,12.0,32.0,0.0,0.301,0.055,0.378,0.246,0.019,0.078,0.78
58,32.0,0.0,120.0,61.0,13.0,82.0,124.0,24.0,0.516,0.0,0.659,0.824,0.228,0.759,0.805,0.585
59,2.0,0.0,11.0,10.0,4.0,5.0,30.0,31.0,0.032,0.0,0.06,0.135,0.07,0.046,0.195,0.756
60,2.0,0.0,106.0,64.0,9.0,64.0,117.0,20.0,0.032,0.0,0.582,0.865,0.158,0.593,0.76,0.488
61,0.0,4.0,1.0,17.0,5.0,1.0,2.0,37.0,0.0,0.055,0.005,0.23,0.088,0.009,0.013,0.902
62,3.0,22.0,4.0,7.0,14.0,4.0,5.0,21.0,0.048,0.301,0.022,0.095,0.246,0.037,0.032,0.512
63,2.0,17.0,3.0,70.0,15.0,4.0,34.0,31.0,0.032,0.233,0.016,0.946,0.263,0.037,0.221,0.756
64,15.0,51.0,12.0,3.0,31.0,6.0,3.0,16.0,0.242,0.699,0.066,0.041,0.544,0.056,0.019,0.39
65,4.0,42.0,6.0,67.0,42.0,2.0,3.0,36.0,0.065,0.575,0.033,0.905,0.737,0.019,0.019,0.878
66,0.0,2.0,4.0,67.0,12.0,3.0,29.0,34.0,0.0,0.027,0.022,0.905,0.211,0.028,0.188,0.829
67,0.0,39.0,4.0,8.0,18.0,3.0,25.0,37.0,0.0,0.534,0.022,0.108,0.316,0.028,0.162,0.902
68,0.0,1.0,5.0,68.0,9.0,2.0,12.0,37.0,0.0,0.014,0.027,0.919,0.158,0.019,0.078,0.902
69,2.0,47.0,4.0,27.0,16.0,2.0,3.0,38.0,0.032,0.644,0.022,0.365,0.281,0.019,0.019,0.927
70,0.0,3.0,6.0,6.0,10.0,1.0,8.0,34.0,0.0,0.041,0.033,0.081,0.175,0.009,0.052,0.829
71,19.0,54.0,22.0,7.0,37.0,14.0,9.0,21.0,0.306,0.74,0.121,0.095,0.649,0.13,0.058,0.512
72,0.0,17.0,4.0,17.0,12.0,2.0,6.0,37.0,0.0,0.233,0.022,0.23,0.211,0.019,0.039,0.902
73,31.0,0.0,120.0,66.0,11.0,74.0,123.0,1.0,0.5,0.0,0.659,0.892,0.193,0.685,0.799,0.024
74,17.0,54.0,4.0,0.0,26.0,5.0,2.0,1.0,0.274,0.74,0.022,0.0,0.456,0.046,0.013,0.024
75,2.0,0.0,60.0,71.0,13.0,73.0,129.0,16.0,0.032,0.0,0.33,0.959,0.228,0.676,0.838,0.39
76,1.0,0.0,31.0,71.0,11.0,21.0,127.0,34.0,0.016,0.0,0.17,0.959,0.193,0.194,0.825,0.829
77,3.0,0.0,129.0,66.0,4.0,86.0,133.0,1.0,0.048,0.0,0.709,0.892,0.07,0.796,0.864,0.024
78,0.0,0.0,98.0,44.0,5.0,79.0,93.0,20.0,0.0,0.0,0.538,0.595,0.088,0.731,0.604,0.488
79,24.0,27.0,108.0,44.0,24.0,82.0,94.0,21.0,0.387,0.37,0.593,0.595,0.421,0.759,0.61,0.512
